,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
AZ,"Santa Barbara, CA",1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1.0,259.9305555555556,,259.9305555555556,259.9305555555556,259.9305555555556,259.9305555555556,259.9305555555556
AZ,"Seattle, WA",30.0,8181.033333333334,2269.4636687283983,5060.0,6679.75,7530.5,9549.25,12631.0,30.0,242.52949217307292,30.24954614328297,170.97182623624266,227.5518394975831,246.95891113780618,268.41063781738546,280.77822459307896
AZ,"Sioux Falls, SD",20.0,747.75,425.9816990138624,145.0,412.5,757.5,1079.25,1425.0,20.0,208.6345446824113,29.409428313547405,157.35449954086317,188.86569252972998,213.34952416395163,228.92110611793646,266.49999999999994
AZ,"South Bend, IN",4.0,256.5,153.13283993535373,123.0,139.5,226.5,343.5,450.0,4.0,237.44667250800063,64.03957653660314,145.04404651641454,219.76611366991995,259.0892680272109,276.7698268652916,286.5641074611663
AZ,"Spokane, WA",30.0,1313.3,385.59046972769903,799.0,1022.75,1282.5,1379.5,2299.0,30.0,256.6951241468666,20.272629537674515,218.9139810179391,240.4135733094186,258.334619775343,270.43575799092775,288.9802663125668
AZ,"Springfield, MO",2.0,232.5,23.33452377915607,216.0,224.25,232.5,240.75,249.0,2.0,160.052738622121,20.506339637240742,145.5525668073136,152.8026527147173,160.052738622121,167.30282452952474,174.55291043692844
AZ,"St. Cloud, MN",1.0,99.0,,99.0,99.0,99.0,99.0,99.0,1.0,117.33734939759034,,117.33734939759034,117.33734939759034,117.33734939759034,117.33734939759034,117.33734939759034
AZ,"St. Louis, MO",30.0,2781.7,404.81755362649227,1552.0,2685.25,2762.5,3041.5,3654.0,30.0,284.6354102009085,20.57574775357024,248.0231909095056,271.1234007500582,287.0339955166402,300.3236700130148,317.1987940630798
AZ,"Tampa, FL (Metropolitan Area)",30.0,1748.3333333333333,445.89857616938525,1038.0,1446.5,1769.5,1955.5,2833.0,30.0,333.96239020167275,32.114844376875276,276.78515331030627,311.0763230399488,325.728166441588,364.16646333888536,382.79994463688536
AZ,"Tulsa, OK",30.0,806.1,221.19929381941276,412.0,603.0,854.0,968.25,1147.0,30.0,286.9900260222926,34.48380071340047,216.10727611940302,258.92535299451913,282.4969860398844,319.6218770005834,342.5926387159264
AZ,"Washington, DC (Metropolitan Area)",30.0,7283.6,1322.8338858886145,3367.0,6746.5,7649.0,8151.75,9444.0,30.0,389.6085287985596,42.81159091960761,314.97851417399806,365.7062187147018,391.7835559731127,415.8840669895102,479.11626916524705
AZ,"Wichita, KS",15.0,341.2,175.5897003162283,136.0,199.0,303.0,408.5,682.0,15.0,228.99230051846283,37.72284406316173,196.2464511511392,210.9011041379611,216.3489340847831,228.57360228064107,336.9591836734694
CA,"Las Vegas, NV",24.0,915.0416666666666,501.10299897297574,154.0,624.75,873.0,1061.75,2040.0,24.0,141.95269898696804,12.19811828756545,117.54166666666667,134.57311406011493,140.8229344562463,149.6121221547398,167.03603367012676
